signal,config,n_imf,recon_err,wall_s,holo_total_energy,holo_peak_fc,holo_peak_fam,matched_var_fraction_vs_python
nguyen_s1,mat_mask,7,4.44e-16,0.914,2674.69,9.1103,1.4348,0.6684
nguyen_s1,mat_mask_pchip,7,4.44e-16,0.823,1.17496,14.0500,2.3443,0.6684
nguyen_s1,mat_emd,5,4.44e-16,0.229,1.60979,14.0500,1.9713,0.9988
nguyen_s1,mat_emd_pchip,5,4.44e-16,0.212,1.59691,14.0500,1.9713,0.9988
nguyen_s1,mat_emd_nak_pchip,5,4.44e-16,0.269,1.5666,14.0500,1.9713,0.9988
nguyen_s1,py,5,4.44e-16,0.035,1.96865,14.0500,1.8077,
nguyen_s1,py_noadm,5,4.44e-16,0.033,1.97558,14.0500,1.8077,
juan_f4_b00,mat_mask,6,6.66e-16,1.192,3.69707,1.7563,1.8077,0.9910
juan_f4_b00,mat_mask_pchip,6,6.66e-16,1.122,0.0218084,3.8304,1.4768,0.9910
juan_f4_b00,mat_emd,4,4.44e-16,0.204,0.0211333,4.0582,0.8288,0.9874
juan_f4_b00,mat_emd_pchip,4,4.44e-16,0.194,0.0201817,4.0582,0.8288,0.9874
juan_f4_b00,mat_emd_nak_pchip,4,4.44e-16,0.212,0.0200668,4.0582,0.8288,0.9874
juan_f4_b00,py,3,2.22e-16,0.020,3.12742e-06,3.9427,1.1722,
juan_f4_b00,py_noadm,3,2.22e-16,0.020,3.12742e-06,3.9427,1.1722,
juan_f4_b04,mat_mask,7,8.88e-16,0.853,0.671098,32.4655,4.1771,0.9879
juan_f4_b04,mat_mask_pchip,7,8.88e-16,0.853,0.610256,32.4655,4.1771,0.9879
juan_f4_b04,mat_emd,4,4.44e-16,0.174,0.579593,31.5412,3.9427,0.9878
juan_f4_b04,mat_emd_pchip,4,4.44e-16,0.151,0.578492,31.5412,3.9427,0.9878
juan_f4_b04,mat_emd_nak_pchip,4,4.44e-16,0.166,0.578432,31.5412,3.9427,0.9877
juan_f4_b04,py,4,4.44e-16,0.021,0.649334,32.4655,3.9427,
juan_f4_b04,py_noadm,4,4.44e-16,0.023,0.649336,32.4655,3.9427,
juan_f4_b10,mat_mask,7,8.88e-16,0.941,3.37789,31.5412,4.0582,0.9971
juan_f4_b10,mat_mask_pchip,7,8.88e-16,0.911,3.05851,31.5412,4.0582,0.9971
juan_f4_b10,mat_emd,4,4.44e-16,0.216,2.58986,30.6433,4.0582,0.9897
juan_f4_b10,mat_emd_pchip,4,4.44e-16,0.153,3.52914,31.5412,4.0582,0.9897
juan_f4_b10,mat_emd_nak_pchip,4,4.44e-16,0.178,3.52913,31.5412,4.0582,0.9896
juan_f4_b10,py,4,4.44e-16,0.029,4.9589,31.5412,4.0582,
juan_f4_b10,py_noadm,4,4.44e-16,0.027,4.9589,31.5412,4.0582,
juan_f5_tv,mat_mask,7,8.88e-16,0.935,1424.82,19.3041,1.3939,0.9873
juan_f5_tv,mat_mask_pchip,7,8.88e-16,0.876,1.13688,32.4655,4.0582,0.9873
juan_f5_tv,mat_emd,5,4.44e-16,0.245,1.11699,31.5412,4.0582,0.9881
juan_f5_tv,mat_emd_pchip,5,4.44e-16,0.176,1.11607,31.5412,4.0582,0.9881
juan_f5_tv,mat_emd_nak_pchip,5,4.44e-16,0.199,1.11615,31.5412,4.0582,0.9880
juan_f5_tv,py,4,4.44e-16,0.022,1.06469,32.4655,3.9427,
juan_f5_tv,py_noadm,4,4.44e-16,0.021,1.06469,32.4655,3.9427,
juan_f6a,mat_mask,7,8.88e-16,2.746,74.6293,30.6433,1.9713,0.9957
juan_f6a,mat_mask_pchip,7,8.88e-16,2.573,5.61348,57.8469,4.0582,0.9957
juan_f6a,mat_emd,5,8.88e-16,0.854,5.91904,56.2001,4.0582,0.9838
juan_f6a,mat_emd_pchip,5,8.88e-16,0.684,5.92278,57.8469,4.0582,0.9838
juan_f6a,mat_emd_nak_pchip,5,8.88e-16,0.688,5.92291,57.8469,4.0582,0.9838
juan_f6a,py,5,8.88e-16,0.052,6.03905,31.5412,3.7214,
juan_f6a,py_noadm,5,8.88e-16,0.050,6.03905,31.5412,3.7214,
juan_f6b,mat_mask,7,8.88e-16,1.458,5.23572,31.5412,7.0250,0.9991
juan_f6b,mat_mask_pchip,7,8.88e-16,1.438,5.06744,31.5412,7.0250,0.9991
juan_f6b,mat_emd,5,8.88e-16,0.304,5.65949,31.5412,7.2309,0.9945
juan_f6b,mat_emd_pchip,5,8.88e-16,0.281,5.58521,31.5412,4.0582,0.9945
juan_f6b,mat_emd_nak_pchip,5,8.88e-16,0.319,5.58419,31.5412,4.0582,0.9945
juan_f6b,py,4,4.44e-16,0.034,14.6908,32.4655,5.5758,
juan_f6b,py_noadm,4,4.44e-16,0.033,14.6908,32.4655,5.5758,
cgm_5min,mat_mask,9,7.11e-15,7.603,4.61053e+11,2.6895,0.8670,0.0000
cgm_5min,mat_mask_pchip,9,7.11e-15,6.883,918.631,0.0428,0.0095,0.0000
cgm_5min,mat_emd,6,3.55e-15,1.932,7.54199e+06,1.0592,0.0335,1.0000
cgm_5min,mat_emd_pchip,6,3.55e-15,1.350,1344.24,0.0930,0.0375,1.0000
cgm_5min,mat_emd_nak_pchip,6,3.55e-15,1.078,1350.49,0.0930,0.0375,1.0000
cgm_5min,py,6,3.55e-15,0.081,1749.3,0.0838,0.0054,
cgm_5min,py_noadm,6,3.55e-15,0.078,1761.37,0.0838,0.0054,
